# x, y, yerr
0.000000000000000000e+00,8.500000000000000000e+00,-1.306713763142974272e-01
1.611073155687073322e-01,4.256894773371032059e+00,-2.073201911907160966e-01
3.222146311374146643e-01,3.205892255194375373e+00,8.846105087802615119e-02
4.833219467061219965e-01,2.581942111583397370e+00,1.119291038279972561e-01
6.444292622748293287e-01,2.152902017124391332e+00,2.503999914833823434e-02
8.055365778435366053e-01,1.835421744515255416e+00,-2.123440699695293699e-01
9.666438934122439930e-01,1.589601372358929954e+00,4.180797439117438924e-02
1.127751208980951381e+00,1.393227970030676222e+00,2.362877727563107016e-02
1.288858524549658657e+00,1.232698213728080860e+00,-4.045262142496455771e-02
1.449965840118365934e+00,1.099110028513807125e+00,-5.898761713935320172e-02
1.611073155687073211e+00,9.863448303004460627e-01,9.507757562000612728e-02
1.772180471255780709e+00,8.900347092012806938e-01,8.750944921196107326e-03
1.933287786824487986e+00,8.069658064172952061e-01,-7.956943270451763417e-02
2.094395102393195263e+00,7.347142160117131615e-01,7.085676413324044215e-03
2.255502417961902761e+00,6.714137345217919828e-01,1.715862313843778963e-01
2.416609733530609816e+00,6.156022076869647197e-01,-8.160085878477803256e-02
2.577717049099317315e+00,5.661167129761930372e-01,-6.344487152835835697e-02
2.738824364668024813e+00,5.220201645618108843e-01,1.174791001359547088e-01
2.899931680236731868e+00,4.825487494475116379e-01,7.750496045933862044e-02
3.061038995805439367e+00,4.470735350130047303e-01,1.337266749672164357e-01
3.222146311374146421e+00,4.150719377647467123e-01,8.975725210798439491e-02
3.383253626942853920e+00,3.861061922397139856e-01,-1.367784765034220640e-01
3.544360942511561419e+00,3.598068779850472909e-01,9.268365926829920387e-02
3.705468258080268473e+00,3.358601598074624217e-01,-3.888830906563090894e-03
3.866575573648975972e+00,3.139977932843650565e-01,-1.409093900495426432e-01
4.027682889217683027e+00,2.939892163900781896e-01,-4.123597185155739725e-02
4.188790204786390525e+00,2.756352335384836261e-01,-8.995039928293843690e-02
4.349897520355098024e+00,2.587629283419681792e-01,-1.282404392868749521e-01
4.511004835923805523e+00,2.432215338697514828e-01,3.687122973334117787e-02
4.672112151492513021e+00,2.288790558781295392e-01,-1.931681127290353350e-01
4.833219467061219632e+00,2.156194931763035505e-01,7.523330728952661028e-02
4.994326782629927131e+00,2.033405352519003229e-01,-1.411113646256261511e-01
5.155434098198634629e+00,1.919516441221508218e-01,-6.209784482295356567e-02
5.316541413767342128e+00,1.813724476107645422e-01,-2.613451420700350081e-01
5.477648729336049627e+00,1.715313866442401969e-01,-1.185634414427003958e-01
5.638756044904756237e+00,1.623645709733954889e-01,1.511587602638100603e-01
5.799863360473463736e+00,1.538148068626501996e-01,-1.380210533960775920e-01
5.960970676042171235e+00,1.458307674103360985e-01,1.546106374626296347e-03
6.122077991610878733e+00,1.383662817522413047e-01,1.158449308401300441e-02
6.283185307179586232e+00,1.313797238165360648e-01,7.634885569544183626e-02
