Geneid,Ctr_S1,Ctr_S2,Ctr_S7,Ctr_S13,RS_S6,RS_S9,RS_S12,RS_S16
ENSG00000230451,0,0,0,0,0,0,0,0
ENSG00000231606,0,1,0,0,0,0,0,0
ENSG00000284632,0,0,0,0,0,0,0,0
ENSG00000054118,2309,2948,3053,2998,1907,1373,1921,2058
ENSG00000254553,0,0,0,0,0,0,0,0
ENSG00000284653,0,0,0,0,0,0,0,0
ENSG00000237749,1,0,0,0,1,0,0,0
ENSG00000276747,0,0,0,0,0,0,0,0
ENSG00000284705,0,0,0,0,0,0,0,0
ENSG00000228776,0,0,0,0,0,0,0,0
ENSG00000159339,0,0,0,2,0,0,0,0
ENSG00000261781,0,0,0,0,0,0,0,0
ENSG00000284743,0,0,0,0,0,0,0,0
ENSG00000158315,22,9,14,7,9,8,7,16
ENSG00000186973,1,2,0,0,2,0,0,1
ENSG00000146463,1027,1572,1115,1107,1079,692,969,987
ENSG00000271741,0,0,0,0,0,0,0,0
ENSG00000142686,335,472,353,395,407,219,380,311
ENSG00000224751,0,0,0,0,0,0,0,0
ENSG00000117148,2,0,2,2,1,1,1,1
ENSG00000230585,0,0,2,1,0,1,0,0
ENSG00000117000,327,413,377,365,278,270,315,261
ENSG00000284989,0,0,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0,0,0
ENSG00000092853,368,357,636,614,167,91,50,21
ENSG00000255811,0,0,0,0,0,1,0,0
ENSG00000134697,876,1713,847,1370,804,443,609,693
ENSG00000187513,0,0,0,142,0,1,0,68
ENSG00000284720,0,0,0,0,0,0,0,0
ENSG00000225671,0,0,0,0,0,1,0,1
ENSG00000116151,59,44,53,50,48,35,31,31
ENSG00000006555,0,0,0,1,0,0,0,0
ENSG00000236111,0,0,0,1,0,0,1,0
ENSG00000214114,169,203,184,198,153,89,128,138
ENSG00000116544,1,4,4,13,4,0,1,36
ENSG00000236723,0,4,1,0,0,0,1,0
ENSG00000232467,0,1,0,0,0,0,0,0
ENSG00000117016,2,0,3,5,19,6,5,4
ENSG00000163866,350,582,427,507,386,185,302,314
ENSG00000237130,0,0,0,0,0,0,0,0
ENSG00000232335,0,0,0,0,0,0,0,0
ENSG00000260971,0,0,0,0,0,0,0,0
ENSG00000284696,0,0,0,0,0,0,0,0
ENSG00000238242,0,0,0,1,0,0,0,1
ENSG00000232762,0,1,0,1,1,0,0,1
ENSG00000162384,354,248,310,359,243,190,222,224
ENSG00000162391,5,1,7,0,0,4,1,1
ENSG00000117859,664,1182,777,1276,1142,382,685,1308
ENSG00000162396,40,68,63,68,53,43,47,39
ENSG00000284686,1,0,4,1,1,0,1,1
ENSG00000162378,782,904,993,836,564,584,883,741
ENSG00000233079,0,0,0,0,0,0,0,0
ENSG00000259818,0,0,0,0,0,0,0,0
ENSG00000229444,0,0,0,0,0,0,0,0
ENSG00000240563,0,0,0,0,1,0,0,0
ENSG00000234318,0,1,0,0,0,0,0,0
ENSG00000284773,6,8,3,2,7,8,12,3
ENSG00000234481,0,0,0,0,0,0,0,0
ENSG00000235612,0,0,0,0,0,0,0,0
ENSG00000227485,0,0,0,0,0,0,0,0
ENSG00000224609,5,3,7,3,14,5,7,3
ENSG00000235545,2,4,2,2,1,1,3,1
ENSG00000236646,0,0,0,0,0,0,0,0
ENSG00000238063,0,0,0,0,0,0,0,0
ENSG00000227104,0,0,0,0,0,0,0,0
ENSG00000243725,9,12,15,15,12,3,5,11
ENSG00000171872,7,6,7,3,3,1,1,8
ENSG00000162407,1013,496,759,837,1684,624,825,414
ENSG00000285079,0,0,0,0,0,0,0,0
ENSG00000163877,246,353,304,284,285,173,259,196
ENSG00000228929,32,23,23,21,23,21,19,13
ENSG00000224570,0,0,0,0,0,0,0,0
ENSG00000224980,0,0,0,0,0,0,0,0
ENSG00000278967,0,0,0,0,0,0,0,1
ENSG00000157184,119,143,117,151,89,71,98,103
ENSG00000198815,610,1037,737,700,762,472,662,616
ENSG00000134744,410,550,504,442,323,281,372,342
ENSG00000233910,0,0,0,0,0,0,0,0
ENSG00000287703,0,0,0,0,0,0,0,0
ENSG00000283039,0,0,0,0,0,0,0,0
ENSG00000229294,0,0,0,0,0,0,0,0
ENSG00000234088,0,0,0,0,0,0,0,0
ENSG00000236973,0,1,0,0,1,0,0,0
ENSG00000277397,0,0,0,0,0,0,0,0
ENSG00000235446,0,0,0,0,0,0,0,0
ENSG00000162385,283,303,320,264,186,135,172,173
ENSG00000223883,0,0,0,0,1,1,0,1
ENSG00000237227,0,0,0,0,0,0,0,0
ENSG00000275350,0,0,0,0,0,0,0,0
ENSG00000116652,5,5,7,5,16,4,12,4
ENSG00000123080,337,231,582,479,100,64,64,22
ENSG00000285778,0,0,0,0,0,0,0,0
ENSG00000233407,0,0,0,0,0,0,0,0
ENSG00000225675,1,0,0,1,1,0,1,0
ENSG00000162598,0,0,0,0,0,0,0,0
ENSG00000280317,0,0,0,0,0,0,0,0
ENSG00000162415,3,816,6,106,237,2,30,159
ENSG00000162600,118,127,146,115,86,48,122,96
ENSG00000116704,359,657,447,529,449,214,360,288
ENSG00000157193,346,1183,486,742,403,324,533,464
ENSG00000116205,185,289,198,216,171,128,178,171
ENSG00000234204,0,0,0,0,0,0,0,0
ENSG00000233099,0,0,0,0,1,0,1,0
ENSG00000233994,4,1,2,2,2,1,0,2
ENSG00000233973,0,0,0,0,0,0,0,0
ENSG00000132854,3,6,2,1,0,0,2,0
ENSG00000227556,0,0,0,0,0,0,0,0
ENSG00000162607,749,726,1160,986,402,255,303,166
ENSG00000285954,0,0,0,0,0,0,0,0
ENSG00000233333,0,0,0,0,0,0,0,0
ENSG00000154027,355,1011,710,671,682,441,539,292
ENSG00000234108,0,0,0,0,1,0,0,0
ENSG00000232676,0,0,1,0,0,0,0,0
ENSG00000213579,0,1,0,1,0,0,0,0
ENSG00000137960,16,3,6,4,4,8,19,9
ENSG00000237852,0,1,0,1,1,0,1,0
ENSG00000132855,1,0,0,1,0,2,0,2
ENSG00000285407,0,0,0,0,0,0,0,0
ENSG00000270549,0,0,0,0,0,0,0,0
ENSG00000237163,0,0,0,0,0,0,0,0
ENSG00000229636,0,0,0,0,0,0,0,0
ENSG00000116675,15,52,57,105,337,31,131,320
ENSG00000162433,534,461,574,302,839,1155,1502,963
ENSG00000213625,1013,1880,1132,1414,2094,755,1526,1459
ENSG00000233664,0,0,0,0,0,0,0,0
ENSG00000158966,94,101,95,132,320,67,129,138
ENSG00000213703,0,1,0,0,0,2,0,0
ENSG00000203965,76,112,126,88,150,62,95,79
ENSG00000223479,0,0,0,0,0,0,0,0
ENSG00000233674,0,0,0,0,0,0,0,0
ENSG00000153898,3,9,14,0,31,6,36,2
ENSG00000117069,0,0,0,0,31,0,0,2
ENSG00000125703,142,174,168,141,142,94,160,117
ENSG00000285041,1,0,1,1,1,0,0,0
ENSG00000234144,0,0,0,0,0,0,0,0
ENSG00000277670,0,0,0,0,0,0,0,0
ENSG00000227466,0,0,0,0,0,0,0,0
ENSG00000230498,1,1,1,0,1,0,0,1
ENSG00000285782,0,0,0,0,0,0,0,0
ENSG00000162618,1036,3447,903,4426,2408,590,731,2935
ENSG00000224493,0,0,0,0,0,0,0,0
ENSG00000131233,0,0,0,0,0,0,0,0
ENSG00000272371,0,0,0,0,0,0,0,0
ENSG00000287647,0,1,0,2,2,0,0,0
ENSG00000229225,0,0,0,0,0,0,0,0
ENSG00000225598,0,1,0,0,0,0,0,0
ENSG00000286455,0,0,0,0,0,0,0,0
ENSG00000230053,0,0,0,0,0,0,0,0
ENSG00000137941,470,629,404,446,537,329,291,349
ENSG00000224326,0,0,0,0,0,0,0,0
ENSG00000286548,0,0,1,0,0,0,0,0
ENSG00000066135,259,238,264,233,214,219,208,183
ENSG00000272094,0,0,0,0,4,0,0,0
ENSG00000228853,0,0,0,0,0,0,0,0
ENSG00000284895,0,0,0,0,0,0,0,0
ENSG00000117174,517,575,626,600,578,309,485,316
ENSG00000237413,0,0,0,0,0,0,0,3
ENSG00000184313,0,0,0,0,0,3,0,1
ENSG00000284645,0,0,0,0,0,0,0,0
ENSG00000225446,0,0,0,0,0,0,0,0
ENSG00000288543,0,0,0,1,0,0,0,0
ENSG00000122420,789,332,649,426,271,400,752,502
ENSG00000284240,0,1,0,0,0,0,0,0
ENSG00000236290,0,0,0,0,0,0,0,0
ENSG00000143013,626,763,812,703,626,454,641,372
ENSG00000226084,10,12,7,12,9,8,11,4
ENSG00000134748,390,490,510,392,235,192,236,223
ENSG00000142892,1153,1576,1344,1286,1421,824,1217,1045
ENSG00000287743,0,0,0,0,0,0,0,0
ENSG00000229332,0,0,0,0,1,0,0,0
ENSG00000227937,0,0,0,0,0,0,0,0
ENSG00000229752,0,0,0,0,0,0,0,0
ENSG00000237505,0,2,3,1,2,1,1,3
ENSG00000285462,0,0,0,0,0,0,0,0
ENSG00000233216,0,0,0,0,1,0,0,0
ENSG00000197273,0,0,0,0,0,0,0,0
ENSG00000226804,0,0,0,0,0,0,0,0
ENSG00000230728,0,0,0,0,0,0,0,0
ENSG00000232846,0,0,0,0,0,0,0,0
ENSG00000230787,2,1,0,0,0,1,1,1
ENSG00000116641,1631,2205,1832,2166,1321,1390,1873,1773
ENSG00000172260,478,1439,493,593,274,268,614,672
ENSG00000285473,0,0,0,0,0,0,0,0
ENSG00000237959,0,0,0,0,0,0,0,0
ENSG00000231364,0,0,0,0,0,0,0,0
ENSG00000234578,0,0,0,0,0,0,0,0
ENSG00000137944,431,670,470,468,305,252,390,304
ENSG00000229505,0,0,0,0,0,0,0,0
ENSG00000228187,1,0,0,0,0,0,0,0
ENSG00000182183,0,1,0,0,0,0,0,1
ENSG00000236407,0,0,0,0,0,0,0,0
ENSG00000271949,0,0,0,0,0,0,0,0
ENSG00000227062,0,0,0,0,0,0,0,0
ENSG00000067334,780,1168,1021,1084,821,441,620,581
ENSG00000235011,0,0,0,0,0,0,0,0
ENSG00000213559,0,0,0,0,0,0,0,0
ENSG00000287587,1,0,0,0,1,0,0,0
ENSG00000142949,2657,3265,2991,4497,2245,3163,3820,4810
ENSG00000232882,1,1,0,0,1,1,2,1
ENSG00000171502,5,2,8,8,10,0,9,10
ENSG00000116157,302,69,225,233,86,172,215,122
ENSG00000143036,7,7,11,6,7,15,25,12
ENSG00000230817,0,0,0,0,0,0,1,0
ENSG00000065243,871,1190,1114,889,828,510,672,594
ENSG00000226759,0,0,0,0,0,0,0,0
ENSG00000226960,0,0,0,0,0,0,0,0
ENSG00000234080,0,0,0,0,0,0,0,0
ENSG00000237899,0,1,0,1,0,0,1,0
ENSG00000227290,0,0,0,0,0,0,0,0
ENSG00000282898,0,0,0,0,0,0,0,0
ENSG00000285409,0,0,0,0,0,0,0,0
ENSG00000117528,762,1067,937,979,682,519,768,895
ENSG00000271723,0,0,0,0,0,0,0,0
ENSG00000036549,659,891,851,587,596,422,506,390
ENSG00000225191,0,0,0,0,0,0,0,0
ENSG00000287870,0,0,1,1,0,0,2,2
ENSG00000232048,0,0,0,0,0,0,0,1
ENSG00000232857,0,0,0,0,0,0,0,0
ENSG00000273637,0,0,0,0,0,0,0,0
ENSG00000228838,0,0,1,1,1,0,0,0
ENSG00000283761,0,1,1,0,0,0,3,0
ENSG00000189433,0,0,0,0,0,0,1,0
ENSG00000230759,0,1,0,0,1,0,0,0
ENSG00000142700,0,287,0,23,8,0,0,8
ENSG00000285525,0,0,0,1,0,0,0,0
ENSG00000236098,0,1,0,0,0,0,0,3
ENSG00000233514,4,13,11,7,6,1,5,10
ENSG00000127124,226,99,307,193,193,98,173,106
ENSG00000266993,3,3,3,2,1,1,5,9
ENSG00000223675,0,0,0,0,0,0,0,0
ENSG00000229316,0,0,0,0,0,0,0,0
ENSG00000287406,0,0,0,0,0,0,0,0
ENSG00000225767,0,0,0,0,1,0,0,0
ENSG00000234099,0,0,0,0,0,0,0,0
ENSG00000137936,845,679,694,820,479,753,808,414
ENSG00000235308,0,0,1,0,1,0,0,0
ENSG00000232752,0,0,0,0,0,0,0,0
ENSG00000235829,0,0,0,0,0,0,0,0
ENSG00000143032,0,0,0,0,0,0,0,0
ENSG00000226745,0,0,0,0,0,0,0,0
ENSG00000280040,0,1,0,2,2,2,1,4
ENSG00000117519,3346,4997,4063,3896,3468,2147,4841,3159
ENSG00000270507,0,0,0,0,0,0,0,0
ENSG00000238037,0,0,0,0,0,0,0,0
ENSG00000134215,0,8,4,0,2,0,0,3
ENSG00000227935,0,0,0,0,0,0,1,0
ENSG00000228502,37,69,37,36,24,11,22,20
ENSG00000236268,0,0,0,0,0,0,0,0
ENSG00000271277,0,0,0,0,0,0,0,0
ENSG00000236888,0,0,0,0,0,0,0,0
ENSG00000279778,0,1,0,0,3,1,0,0
ENSG00000230828,0,0,0,0,0,0,0,0
ENSG00000188641,952,1369,566,887,656,660,310,275
ENSG00000152078,2,1,15,3,5,0,10,4
ENSG00000233359,0,0,0,0,1,0,0,0
ENSG00000237954,0,0,0,0,0,0,0,0
ENSG00000171492,849,1267,922,612,781,972,876,668
ENSG00000233129,0,0,0,0,0,0,0,0
ENSG00000170989,139,182,303,907,171,126,320,247
ENSG00000233557,0,0,0,0,0,0,0,0
ENSG00000237897,0,0,0,0,0,1,0,0
ENSG00000116299,6,47,15,17,32,16,28,28
ENSG00000137962,2294,2054,2397,5993,1009,798,1896,3287
ENSG00000286692,0,0,1,0,0,0,1,0
ENSG00000260464,1,0,4,1,2,0,1,2
ENSG00000237435,0,0,0,0,0,0,0,0
ENSG00000231996,0,0,0,0,0,0,1,0
ENSG00000273204,0,2,1,0,0,0,1,0
ENSG00000079739,1009,973,895,586,699,1282,1378,808
ENSG00000117154,0,0,0,0,1,0,0,0
ENSG00000162377,363,435,391,376,399,169,296,210
ENSG00000224613,4,5,3,4,3,0,6,5
ENSG00000215871,0,0,0,0,0,0,0,1
ENSG00000287372,0,0,0,0,0,0,0,0
ENSG00000232542,0,1,0,1,0,0,0,0
ENSG00000116774,1058,771,1389,638,755,392,1122,142
ENSG00000287756,0,0,0,0,0,0,0,0
ENSG00000284652,2,0,1,2,0,1,0,0
ENSG00000023909,788,1382,821,859,1533,543,747,705
ENSG00000069702,415,188,206,162,245,489,210,126
ENSG00000228399,0,1,0,0,1,1,0,0
ENSG00000236776,0,0,0,0,0,0,0,0
ENSG00000224685,0,0,0,0,0,0,0,0
ENSG00000287076,0,0,0,0,0,0,0,0
ENSG00000237480,0,0,0,0,0,0,0,0
ENSG00000271252,0,0,0,1,0,0,0,0
ENSG00000235794,0,0,0,0,0,0,0,0
ENSG00000286758,0,0,0,0,0,0,0,0
ENSG00000237337,0,0,0,0,0,0,0,0
ENSG00000233983,0,0,0,0,0,0,0,0
ENSG00000198198,467,609,500,611,414,302,391,434
ENSG00000230402,0,0,0,0,0,0,0,0
ENSG00000116793,437,801,497,527,583,277,407,407
ENSG00000232918,0,0,0,0,0,1,0,0
ENSG00000183298,0,0,0,2,0,1,0,0
ENSG00000234332,0,0,0,0,1,0,0,0
ENSG00000117525,397,963,122,288,180,1719,556,309
ENSG00000225079,0,0,0,0,0,0,0,0
ENSG00000224238,1,2,5,2,5,2,1,1
ENSG00000229537,0,0,0,0,0,0,0,0
ENSG00000162699,0,0,0,0,0,0,0,0
ENSG00000162692,45,12,55,33,93,2,24,29
ENSG00000203914,6,17,8,11,9,1,10,9
ENSG00000270457,0,0,0,1,0,1,0,0
ENSG00000203858,0,0,0,0,0,0,0,0
ENSG00000231987,0,0,0,0,0,0,0,0
ENSG00000228057,4,7,6,4,4,3,5,4
ENSG00000224445,0,0,0,0,0,0,0,1
ENSG00000229842,0,0,0,0,0,0,0,0
ENSG00000229201,0,0,0,0,0,0,0,0
ENSG00000181656,1,1,0,1,1,1,0,0
ENSG00000122481,16,18,21,17,15,9,21,19
ENSG00000198162,1342,2017,1445,1739,1210,935,1494,1432
ENSG00000171517,3,2,7,7,7,0,3,0
ENSG00000228852,2,2,3,2,1,1,2,4
ENSG00000203864,0,0,0,0,0,0,0,0
ENSG00000233482,0,0,0,0,0,0,0,0
ENSG00000230250,0,0,0,0,0,0,0,0
ENSG00000232878,0,2,1,2,2,0,0,1
ENSG00000143079,614,1205,849,922,885,478,746,723
ENSG00000232450,6,7,4,2,6,0,3,5
ENSG00000223575,0,0,0,0,0,0,0,0
ENSG00000230768,0,0,0,0,0,0,0,0
ENSG00000235202,0,0,0,0,0,0,0,0
ENSG00000272715,0,0,0,0,1,0,0,1
ENSG00000235038,0,0,0,0,0,0,0,0
ENSG00000173947,1,0,1,2,16,3,2,14
ENSG00000230434,0,0,0,0,0,0,0,0
ENSG00000230718,0,0,0,0,0,0,0,0
ENSG00000134198,0,0,1,0,1,0,0,0
ENSG00000235595,0,0,1,0,0,0,0,1
ENSG00000226053,1,1,8,5,0,0,3,7
ENSG00000226128,0,0,0,0,0,0,0,0
ENSG00000279513,2,0,0,2,0,0,1,2
ENSG00000117620,322,454,291,349,254,240,316,282
ENSG00000223906,0,0,0,0,0,0,0,0
ENSG00000162688,407,669,462,490,399,291,551,543
ENSG00000197106,77,275,314,147,80,72,356,80
ENSG00000259946,1,1,2,0,0,0,2,1
ENSG00000236137,1,0,2,1,0,1,1,1
ENSG00000203859,0,0,0,0,11,0,0,0
ENSG00000228086,0,0,0,0,0,0,0,0
ENSG00000213421,0,0,0,0,0,0,0,0
ENSG00000234020,0,0,0,0,0,0,0,0
ENSG00000236804,0,0,0,0,0,0,0,0
ENSG00000231072,0,0,0,5,0,1,0,0
ENSG00000273406,0,0,0,0,0,0,0,0
ENSG00000185946,127,172,172,129,106,104,118,114
ENSG00000162627,570,515,561,782,667,294,378,576
ENSG00000226715,0,0,0,0,0,0,0,0
ENSG00000162695,602,1202,723,839,780,518,668,547
ENSG00000265808,832,2053,829,900,1957,667,1369,1122
ENSG00000225923,0,0,0,0,0,0,0,0
ENSG00000134247,1333,2388,1752,2261,1210,937,2098,2042
ENSG00000187481,0,0,0,0,0,0,0,0
ENSG00000162664,500,648,546,482,327,296,339,278
ENSG00000236866,0,0,0,0,0,0,0,0
ENSG00000134253,51,30,42,50,43,20,28,37
ENSG00000223416,0,0,1,0,1,0,0,0
ENSG00000179571,2,2,2,0,5,1,2,0
ENSG00000227850,0,1,0,1,2,1,0,0
ENSG00000235777,0,0,0,0,0,0,0,0
ENSG00000285532,0,0,0,0,0,0,0,0
ENSG00000226755,0,0,0,0,0,0,0,0
ENSG00000232650,0,0,0,0,0,0,0,0
ENSG00000183508,42,17,125,25,43,38,111,31
ENSG00000277095,0,0,0,0,0,0,0,0
ENSG00000274927,0,0,0,0,0,0,0,0
ENSG00000264145,0,0,0,0,0,0,0,0
ENSG00000238256,0,0,0,0,0,0,0,0
ENSG00000198765,0,0,0,0,0,0,0,0
ENSG00000277702,6,8,12,11,5,4,7,11
ENSG00000143398,1101,1734,1291,1481,1433,794,1104,1178
ENSG00000196505,206,314,270,237,215,167,174,188
ENSG00000223489,0,0,0,0,0,0,0,0
ENSG00000230546,0,0,0,0,0,0,0,0
ENSG00000213262,0,0,0,0,0,0,0,0
ENSG00000287015,0,0,0,0,0,0,0,0
ENSG00000235526,2,0,3,3,1,0,0,0
ENSG00000228347,0,1,0,0,0,0,0,1
ENSG00000236012,0,0,0,0,0,0,0,0
ENSG00000270911,0,0,0,0,0,1,0,0
ENSG00000134200,0,0,0,0,0,0,0,0
ENSG00000065183,789,1056,820,975,862,440,656,589
ENSG00000227082,19,9,8,18,7,18,22,32
ENSG00000226126,0,0,0,0,0,0,0,0
ENSG00000163156,218,294,261,251,229,163,173,173
ENSG00000228453,1,0,0,0,0,0,0,0
ENSG00000274642,2,0,3,2,0,1,5,0
ENSG00000261168,0,5,2,2,1,2,1,1
ENSG00000287980,0,0,0,0,0,0,0,0
ENSG00000229283,0,0,0,0,0,0,0,0
ENSG00000226172,0,0,0,0,0,0,0,0
ENSG00000079335,26,52,62,48,67,17,26,23
ENSG00000143119,0,0,0,0,4,1,0,0
ENSG00000233432,0,0,0,0,0,0,1,2
ENSG00000229911,0,0,0,0,0,0,1,0
ENSG00000171943,89,81,114,87,111,86,103,43
ENSG00000270719,0,0,0,0,0,0,0,0
ENSG00000155761,4,2,0,2,2,0,0,4
ENSG00000230806,0,0,0,0,0,0,0,0
ENSG00000116830,270,300,415,432,217,107,184,199
ENSG00000234422,0,0,0,0,1,0,0,0
ENSG00000227056,0,0,2,0,0,0,0,0
ENSG00000227091,0,0,0,1,0,0,0,0
ENSG00000081026,207,242,318,270,161,136,155,138
ENSG00000224965,5,29,33,5,7,5,17,0
ENSG00000143458,254,249,302,245,134,184,194,117
ENSG00000230932,0,0,0,0,0,0,0,0
ENSG00000073754,0,0,0,0,3,0,0,0
ENSG00000228826,0,0,0,0,0,0,0,0
ENSG00000233907,0,0,0,0,0,0,0,0
ENSG00000225036,0,0,0,0,0,0,0,0
ENSG00000228420,0,0,0,0,0,0,0,0
ENSG00000250890,0,0,0,0,0,0,0,0
ENSG00000232240,0,0,0,0,0,0,0,0
ENSG00000230921,0,0,0,0,0,0,0,0
ENSG00000286151,0,0,0,0,0,0,0,0
ENSG00000234388,0,0,0,0,0,0,0,0
ENSG00000271736,0,0,0,0,1,0,0,0
ENSG00000233717,0,0,0,0,0,0,0,0
ENSG00000163155,54,116,70,96,59,36,50,59
ENSG00000241975,5,7,7,6,1,1,3,4
ENSG00000270976,0,0,0,0,0,0,0,0
